"Nome","Città","Indirizzo","Regione","Link Google Maps","Note"
"Caianello","Caianello","Via Ceraselle","Campania","https://www.google.com/maps/search/?api=1&query=41.313,14.1","EIB Vasco Roma"
"Cava de' Tirreni","Cava de' Tirreni","Via XXV Luglio","Campania","https://www.google.com/maps/search/?api=1&query=40.701,14.706","EIB Vasco Roma"
"Contursi Terme","Contursi Terme","Strada Provinciale 65","Campania","https://www.google.com/maps/search/?api=1&query=40.657,15.238","EIB Vasco Roma"
"Eboli","Eboli","Via San Vito Martire","Campania","https://www.google.com/maps/search/?api=1&query=40.617,15.056","EIB Vasco Roma"
"Napoli (Stazione)","Napoli","Via Galileo Ferraris, 40","Campania","https://www.google.com/maps/search/?api=1&query=40.85194,14.271363","EIB Vasco Roma"
"Nocera Inferiore","Nocera Inferiore","Via Giuseppe Atzori","Campania","https://www.google.com/maps/search/?api=1&query=40.744,14.642","EIB Vasco Roma"
"Sala Consilina","Sala Consilina","Terminal Bus","Campania","https://www.google.com/maps/search/?api=1&query=40.39,15.595","EIB Vasco Roma"
"Salerno (Stazione)","Salerno","Piazza Concordia","Campania","https://www.google.com/maps/search/?api=1&query=40.67397,14.769932","EIB Vasco Roma"
"Bologna (Stazione)","Bologna","Piazza XX Settembre","Emilia-Romagna","https://www.google.com/maps/search/?api=1&query=44.508552,11.280748","EIB Vasco Roma"
"Camposanto","Camposanto","Piazza Antonio Gramsci 20","Emilia-Romagna","https://www.google.com/maps/search/?api=1&query=Piazza%20Antonio%20Gramsci%2020%2C%20Camposanto",""
"Carpi","Carpi","Via Guido Molinari","Emilia-Romagna","https://www.google.com/maps/search/?api=1&query=44.7859218,10.8775801","EIB Vasco Roma"
"Cesena","Cesena","Via Dino Rondani","Emilia-Romagna","https://www.google.com/maps/search/?api=1&query=44.1921,12.2148","EIB Vasco Roma"
"Faenza","Faenza","Via San Silvestro","Emilia-Romagna","https://www.google.com/maps/search/?api=1&query=44.286,11.883","EIB Vasco Roma"
"Fidenza","Fidenza","Via Federico Fellini, 1","Emilia-Romagna","https://www.google.com/maps/search/?api=1&query=44.886,10.0888","EIB ASAP Milano"
"Fiorenzuola","Fiorenzuola","Via Fiorenzuola","Emilia-Romagna","https://www.google.com/maps/search/?api=1&query=44.928,9.908","EIB Vasco Roma"
"Forli'","Forli'","Viale della Costituzione 1","Emilia-Romagna","https://www.google.com/maps/search/?api=1&query=44.25,12.0878","EIB Vasco Roma"
"Imola","Imola","Via Selice, 47","Emilia-Romagna","https://www.google.com/maps/search/?api=1&query=44.3777,11.7361","EIB Vasco Roma"
"Modena","Modena","Modena","Emilia-Romagna","https://www.google.com/maps/search/?api=1&query=44.6458885,10.9255707",""
"Parma","Parma","Strada Traversante Lupo","Emilia-Romagna","https://www.google.com/maps/search/?api=1&query=44.828499,10.198135","EIB Vasco Roma"
"Piacenza","Piacenza","Piacenza","Emilia-Romagna","https://www.google.com/maps/search/?api=1&query=Piacenza%2C%20Piacenza",""
"Reggio Emilia","Reggio Emilia","Via Gaetano Filangieri","Emilia-Romagna","https://www.google.com/maps/search/?api=1&query=44.725573,10.630441","EIB Vasco Roma"
"Pordenone","Pordenone","Via Dogana","Friuli-Venezia Giulia","https://www.google.com/maps/search/?api=1&query=45.964,12.657","EIB Vasco Roma"
"Udine (Palmanova)","Udine","Via Julia 30","Friuli-Venezia Giulia","https://www.google.com/maps/search/?api=1&query=45.8873,13.309","EIB Vasco Roma"
"Cassino","Cassino","Via del Cerro","Lazio","https://www.google.com/maps/search/?api=1&query=41.461184,13.79852","EIB Vasco Roma"
"Frosinone","Frosinone","Via dei Monti Lepini","Lazio","https://www.google.com/maps/search/?api=1&query=41.621301,13.315772","EIB Vasco Roma"
"Latina (Borgo Piave)","Latina","Via Piave","Lazio","https://www.google.com/maps/search/?api=1&query=41.467,12.904","EIB Vasco Roma"
"Orte","Orte","Via Lazio","Lazio","https://www.google.com/maps/search/?api=1&query=42.4554,12.4091","EIB Vasco Roma"
"Pomezia","Pomezia","Via Pontina Vecchia 30","Lazio","https://www.google.com/maps/search/?api=1&query=41.669,12.501","EIB Vasco Roma"
"Roma Cinecitta","Roma Cinecitta","Via Lamaro 12","Lazio","https://www.google.com/maps/search/?api=1&query=41.8521,12.5734","EIB ASAP Milano"
"Valmontone","Valmontone","Via Artena 54","Lazio","https://www.google.com/maps/search/?api=1&query=41.777,12.92","EIB Vasco Roma"
"Albenga","Albenga","Via al Piemonte","Liguria","https://www.google.com/maps/search/?api=1&query=44.05,8.217","EIB Vasco Roma"
"Genova Est","Genova Est","Via Piacenza","Liguria","https://www.google.com/maps/search/?api=1&query=44.416341,8.918613","EIB Vasco Roma"
"Sarzana","Sarzana","Via Variante Aurelia","Liguria","https://www.google.com/maps/search/?api=1&query=44.106189119662055,9.95219026073101","EIB Vasco Roma"
"Savona","Savona","Via Caravaggio","Liguria","https://www.google.com/maps/search/?api=1&query=44.287225,8.442428","EIB Vasco Roma"
"Agrate","Agrate","Via Giacomo Matteotti 142","Lombardia","https://www.google.com/maps/search/?api=1&query=45.573,9.355","EIB Vasco Roma"
"Bergamo","Bergamo","Via Autostrada","Lombardia","https://www.google.com/maps/search/?api=1&query=45.68004218477677,9.66915933984271","EIB Vasco Roma"
"Brescia (Brescia Centro)","Brescia","Via Borgosatollo","Lombardia","https://www.google.com/maps/search/?api=1&query=45.507958,10.22803","EIB Vasco Roma"
"Busto Arsizio","Busto Arsizio","Via Busto Fagnano","Lombardia","https://www.google.com/maps/search/?api=1&query=45.612,8.849","EIB Vasco Roma"
"Como","Como","Via Cristoforo Colombo","Lombardia","https://www.google.com/maps/search/?api=1&query=45.78212,9.054156","EIB Vasco Roma"
"Desenzano del Garda","Desenzano del Garda","Strada Statale 567","Lombardia","https://www.google.com/maps/search/?api=1&query=45.47,10.535","EIB Vasco Roma"
"Gallarate","Gallarate","Piazza Buffoni 5","Lombardia","https://www.google.com/maps/search/?api=1&query=45.666714,8.796792","EIB Vasco Roma"
"Lodi (Pieve Fissiraga)","Lodi","Via Isola Rota","Lombardia","https://www.google.com/maps/search/?api=1&query=45.276224,9.455764","EIB Vasco Roma"
"Milano","Milano","Milano","Lombardia","https://www.google.com/maps/search/?api=1&query=Milano%2C%20Milano",""
"Milano (Lambrate)","Milano","Via Predil","Lombardia","https://www.google.com/maps/search/?api=1&query=45.48516416669662,9.238597781640134","EIB Vasco Roma"
"Rovato","Rovato","Via Rovato, 44","Lombardia","https://www.google.com/maps/search/?api=1&query=45.5798,10.0022","EIB ASAP Milano"
"Varese","Varese","Piazzale Trieste","Lombardia","https://www.google.com/maps/search/?api=1&query=45.815642,8.832696","EIB Vasco Roma"
"Civitanova Marche","Civitanova Marche","Via Einaudi, 232","Marche","https://www.google.com/maps/search/?api=1&query=43.293532,13.708233","EIB Vasco Roma"
"Fano","Fano","Via Luchino Visconti","Marche","https://www.google.com/maps/search/?api=1&query=43.844,13.018","EIB Vasco Roma"
"Pesaro","Pesaro","Strada della Fornace Vecchia","Marche","https://www.google.com/maps/search/?api=1&query=43.897448,12.84064","EIB Vasco Roma"
"San Benedetto del Tronto","San Benedetto del Tronto","Via San Giovanni","Marche","https://www.google.com/maps/search/?api=1&query=42.8958,13.8838","EIB Vasco Roma"
"Senigallia","Senigallia","Strada Statale Arceviese","Marche","https://www.google.com/maps/search/?api=1&query=43.702323,13.207999","EIB Vasco Roma"
"Termoli","Termoli","Via Corsica 185","Molise","https://www.google.com/maps/search/?api=1&query=41.981971511674146,15.006071881282379","EIB Vasco Roma"
"Asti","Asti","Corso Torino, 475","Piemonte","https://www.google.com/maps/search/?api=1&query=44.907136,8.255306","EIB Vasco Roma"
"Moncalieri","Moncalieri","Strada Vivero","Piemonte","https://www.google.com/maps/search/?api=1&query=45,7.68","EIB Vasco Roma"
"Santhia","Santhia","Corso 25 Aprile","Piemonte","https://www.google.com/maps/search/?api=1&query=45.3825,8.14065","EIB ASAP Milano"
"Torino (Porta Nuova)","Torino","Piazza Carlo Felice","Piemonte","https://www.google.com/maps/search/?api=1&query=45.075383,7.61459","EIB Vasco Roma"
"Bari","Bari","Via G. Amendola","Puglia","https://www.google.com/maps/search/?api=1&query=41.116951302126886,16.868307820176643","EIB Vasco Roma"
"Brindisi (Ospedale)","Brindisi","Via Appia","Puglia","https://www.google.com/maps/search/?api=1&query=40.633,17.938","EIB Vasco Roma"
"Foggia (Candela)","Foggia","Strada Provinciale 95","Puglia","https://www.google.com/maps/search/?api=1&query=41.496971,15.564011","EIB Vasco Roma"
"Grottaglie","Grottaglie","Largo Unicef","Puglia","https://www.google.com/maps/search/?api=1&query=40.538,17.434","EIB Vasco Roma"
"Lecce","Lecce","Via della Lira Italiana","Puglia","https://www.google.com/maps/search/?api=1&query=40.352,18.175","EIB Vasco Roma"
"Massafra","Massafra","SS7 Appia 10","Puglia","https://www.google.com/maps/search/?api=1&query=40.59,17.115","EIB Vasco Roma"
"Molfetta","Molfetta","Via Terlizzi","Puglia","https://www.google.com/maps/search/?api=1&query=41.201,16.599","EIB Vasco Roma"
"San Severo","San Severo","SS272","Puglia","https://www.google.com/maps/search/?api=1&query=41.691718,15.403401","EIB Vasco Roma"
"Taranto","Taranto","Via Porto Mercantile","Puglia","https://www.google.com/maps/search/?api=1&query=40.464,17.247","EIB Vasco Roma"
"Arezzo","Arezzo","Loc. Battifolle, 36/b","Toscana","https://www.google.com/maps/search/?api=1&query=43.438573,11.778062","EIB Vasco Roma"
"Cecina","Cecina","Via Montanara","Toscana","https://www.google.com/maps/search/?api=1&query=43.307,10.517","EIB Vasco Roma"
"Firenze (Aeroporto)","Firenze","Via del Termine","Toscana","https://www.google.com/maps/search/?api=1&query=43.832286,11.160215","EIB Vasco Roma"
"Follonica","Follonica","Strada Provinciale 152","Toscana","https://www.google.com/maps/search/?api=1&query=42.923521,10.762846","EIB Vasco Roma"
"Grosseto","Grosseto","Via Senese, 170","Toscana","https://www.google.com/maps/search/?api=1&query=42.789327,11.091481","EIB Vasco Roma"
"Livorno","Livorno","Via Antonio Bacchelli, 60","Toscana","https://www.google.com/maps/search/?api=1&query=43.54799795591633,10.339074548358763","EIB Vasco Roma"
"Lucca","Lucca","Via Savonarola","Toscana","https://www.google.com/maps/search/?api=1&query=43.831745,10.49461","EIB Vasco Roma"
"Massa","Massa","Via Massa Avenza, 32","Toscana","https://www.google.com/maps/search/?api=1&query=44.0219,10.109","EIB Vasco Roma"
"Piombino","Piombino","Via Stazione","Toscana","https://www.google.com/maps/search/?api=1&query=43.054,10.622","EIB Vasco Roma"
"Pisa (Ikea)","Pisa","Via Rino Ricci, 8","Toscana","https://www.google.com/maps/search/?api=1&query=43.78156315716349,10.33624365444584","EIB Vasco Roma"
"Pistoia","Pistoia","Raccordo di Pistoia","Toscana","https://www.google.com/maps/search/?api=1&query=43.921235,10.915518","EIB Vasco Roma"
"Prato","Prato","Piazzale Falcone e Borsellino","Toscana","https://www.google.com/maps/search/?api=1&query=43.85873103041477,11.109894604257699","EIB Vasco Roma"
"Valdichiana (Bettolle)","Valdichiana","Via Giuseppe Di Vittorio","Toscana","https://www.google.com/maps/search/?api=1&query=43.2093,11.8029","EIB Vasco Roma"
"Viareggio","Viareggio","Via Aurelia Nord 342","Toscana","https://www.google.com/maps/search/?api=1&query=43.8987,10.254257","EIB Vasco Roma"
"Bastia Umbra","Bastia Umbra","Piazza Bakunin","Umbria","https://www.google.com/maps/search/?api=1&query=43.067,12.546","EIB Vasco Roma"
"Foligno","Foligno","Viale Firenze","Umbria","https://www.google.com/maps/search/?api=1&query=42.955,12.703","EIB Vasco Roma"
"Perugia","Perugia","Via Alessandro Manzoni","Umbria","https://www.google.com/maps/search/?api=1&query=43.08842064005202,12.446232409483079","EIB Vasco Roma"
"Spoleto","Spoleto","Via Pietro Conti, 1","Umbria","https://www.google.com/maps/search/?api=1&query=42.74,12.737","EIB Vasco Roma"
"Conegliano","Conegliano","Via Fabio Filzi","Veneto","https://www.google.com/maps/search/?api=1&query=45.8807,12.3086","EIB Vasco Roma"
"Mestre","Mestre","Rotonda Romea","Veneto","https://www.google.com/maps/search/?api=1&query=45.474051,12.21404","EIB Vasco Roma"
"Padova","Padova","Via Po, 197","Veneto","https://www.google.com/maps/search/?api=1&query=45.416571,11.933705","EIB Vasco Roma"
"Thiene","Thiene","Via dei Quartieri, 169","Veneto","https://www.google.com/maps/search/?api=1&query=45.6947,11.4974","EIB Vasco Roma"
"Treviso (Silea)","Treviso","Via Caduti di Nassiriya","Veneto","https://www.google.com/maps/search/?api=1&query=45.652547,12.30771","EIB Vasco Roma"
"Verona Sud","Verona Sud","Via Enrico Fermi 6","Veneto","https://www.google.com/maps/search/?api=1&query=45.41415,10.853176","EIB Vasco Roma"
"Alessandria Ovest","Alessandria Ovest","Via Casale","(nessuna)","https://www.google.com/maps/search/?api=1&query=44.936222,8.584001","EIB Vasco Roma"
"Ancona Nord","Ancona Nord","Via M. D'Antona incrocio Via M. Biagi","(nessuna)","https://www.google.com/maps/search/?api=1&query=43.59807058293782,13.34945866986243","EIB Vasco Roma"
"Andria","Andria","Contrada Barba d'Angelo","(nessuna)","https://www.google.com/maps/search/?api=1&query=41.23768395113552,16.295306771586517","EIB Vasco Roma"
"Aprilia","Aprilia","Via P. Mascagni, 103","(nessuna)","https://www.google.com/maps/search/?api=1&query=41.594,12.648","EIB Vasco Roma"
"Bassano del Grappa","Bassano del Grappa","Viale A. De Gasperi, 80/82","(nessuna)","https://www.google.com/maps/search/?api=1&query=45.739,11.7288","EIB Vasco Roma"
"Battipaglia","Battipaglia","Rotonda Strada Statale 18","(nessuna)","https://www.google.com/maps/search/?api=1&query=40.61,14.984","EIB Vasco Roma"
"Benevento (Casello)","Benevento","Strada Provinciale Passo Castello","(nessuna)","https://www.google.com/maps/search/?api=1&query=41.069108087986734,14.917150073361148","EIB Vasco Roma"
"Bologna","Bologna","Via pietromellara 14","(nessuna)","https://www.google.com/maps/search/?api=1&query=Via%20pietromellara%2014%2C%20Bologna",""
"Caserta Nord","Caserta Nord","Via Casagiove-Casapulla","(nessuna)","https://www.google.com/maps/search/?api=1&query=41.075752,14.302498","EIB Vasco Roma"
"Chiavari","Chiavari","Piazzale della Franca","(nessuna)","https://www.google.com/maps/search/?api=1&query=44.32129763451438,9.320738596781558","EIB Vasco Roma"
"Chieti","Chieti","Viale Abruzzo, Stadio Angelini","(nessuna)","https://www.google.com/maps/search/?api=1&query=42.36,14.16","EIB Vasco Roma"
"Ferrara Nord","Ferrara Nord","Via Giovan Battista Crema","(nessuna)","https://www.google.com/maps/search/?api=1&query=44.865972,11.57418","EIB Vasco Roma"
"Giulianova","Giulianova","Contrada Rovano 33, Mosciano Sant'Angelo","(nessuna)","https://www.google.com/maps/search/?api=1&query=42.713225,13.910968","EIB Vasco Roma"
"L'Aquila Ovest","L'Aquila Ovest","Strada Statale 17, localita' Sant'Antonio","(nessuna)","https://www.google.com/maps/search/?api=1&query=Strada%20Statale%2017%2C%20localita'%20Sant'Antonio%2C%20L'Aquila%20Ovest","EIB Vasco Roma"
"Mantova Sud","Mantova Sud","Via Massimo D'Antona","(nessuna)","https://www.google.com/maps/search/?api=1&query=45.156,10.791","EIB Vasco Roma"
"Modena (Campogalliano)","Modena","Uscita Campogalliano","(nessuna)","https://www.google.com/maps/search/?api=1&query=44.654529364087956,10.867979174127838","EIB Vasco Roma"
"Novara","Novara","Uscita Novara Ovest - Veveri","(nessuna)","https://www.google.com/maps/search/?api=1&query=45.4748,8.56364","EIB ASAP Milano"
"Pescara Nord","Pescara Nord","Viale 22 Maggio 1944","(nessuna)","https://www.google.com/maps/search/?api=1&query=42.397898,14.289929","EIB Vasco Roma"
"Piacenza Sud","Piacenza ","Viale dell'Agricoltura","(nessuna)","https://www.google.com/maps/search/?api=1&query=Viale%20dell'Agricoltura%2C%20Piacenza%20","EIB Vasco Roma"
"Piacenza Sud","Piacenza Sud","Viale dell'Agricoltura","(nessuna)","https://www.google.com/maps/search/?api=1&query=Viale%20dell'Agricoltura%2C%20Piacenza%20Sud",""
"Pompei Est","Pompei Est","Via Acqua Salsa","(nessuna)","https://www.google.com/maps/search/?api=1&query=40.7456,14.5116","EIB ASAP Milano"
"Riccione","Riccione","Via Enrico Berlinguer","(nessuna)","https://www.google.com/maps/search/?api=1&query=43.98972,12.643674","EIB Vasco Roma"
"Rimini","Rimini","Autostrada Nord","(nessuna)","https://www.google.com/maps/search/?api=1&query=44.087739,12.470056","EIB Vasco Roma"
"Rovigo Nord","Rovigo Nord","Via Roma 103","(nessuna)","https://www.google.com/maps/search/?api=1&query=45.11514578702251,11.773950209513929","EIB Vasco Roma"
"San Dona - Noventa","San Dona - Noventa","Via Rialto, 1","(nessuna)","https://www.google.com/maps/search/?api=1&query=45.6679,12.5358","EIB ASAP Milano"
"Saronno","Saronno","Viale Europa","(nessuna)","https://www.google.com/maps/search/?api=1&query=45.6187,9.01967","EIB Vasco Roma"
"Sulmona","Sulmona","Uscita Pratola Peligna","(nessuna)","https://www.google.com/maps/search/?api=1&query=42.101202480583794,13.864823712708176","EIB Vasco Roma"
"Terni Ovest","Terni Ovest","Viale Donato Bramante","(nessuna)","https://www.google.com/maps/search/?api=1&query=42.714346,12.148656","EIB Vasco Roma"
"Udine - Stadio","Udine - Stadio","Viale dello Sport","(nessuna)","https://www.google.com/maps/search/?api=1&query=46.0815,13.1976","EIB Vasco Roma"
"Venezia (Portogruaro)","Venezia","Rotonda Alcide de Gasperi","(nessuna)","https://www.google.com/maps/search/?api=1&query=Rotonda%20Alcide%20de%20Gasperi%2C%20Venezia","EIB Vasco Roma"
"Vicenza Est","Vicenza Est","Via della Serenissima","(nessuna)","https://www.google.com/maps/search/?api=1&query=45.517,11.5998","EIB Vasco Roma"
